iter	MultiLogloss
0	0.6819983519
1	0.6711147284
2	0.6603973825
3	0.6500735329
4	0.6400142852
5	0.630244502
6	0.6207132594
7	0.6113894689
8	0.6023413575
9	0.5935512094
10	0.5849345611
11	0.5766002677
12	0.5684630689
13	0.5603180854
14	0.5526156798
15	0.545035793
16	0.5377701034
17	0.5306263151
18	0.523726253
19	0.5166937483
20	0.510180119
21	0.5038074214
22	0.4976359834
23	0.4916039387
24	0.4857499086
25	0.4800796824
26	0.474531816
27	0.469095895
28	0.4638351776
29	0.4587054093
30	0.4536916566
31	0.4487395385
32	0.4440272952
33	0.4394601042
34	0.4350146696
35	0.4305996823
36	0.4261782816
37	0.4219753736
38	0.4179373176
39	0.4139847154
40	0.4101983536
41	0.406491879
42	0.4023928155
43	0.398419157
44	0.3949720016
45	0.3916260777
46	0.3884151935
47	0.3852667443
48	0.3822215709
49	0.3788390837
50	0.375529384
51	0.372716257
52	0.3699346898
53	0.3670570136
54	0.364307945
55	0.3618002598
56	0.3589413973
57	0.3565536049
58	0.3540087011
59	0.3515354352
60	0.3493203167
61	0.3470365138
62	0.3447999306
63	0.3425672633
64	0.3404554658
65	0.3385095692
66	0.3366257307
67	0.3344583404
68	0.3323238001
69	0.3301410599
70	0.3284592036
71	0.3265374701
72	0.3247604124
73	0.3231824768
74	0.3211472077
75	0.3193613064
76	0.3178275053
77	0.3161338911
78	0.3145623982
79	0.3131321505
80	0.3118278231
81	0.3101349396
82	0.3086074492
83	0.3072333744
84	0.3057772595
85	0.3044455361
86	0.3030877026
87	0.301849755
88	0.3003818824
89	0.2990404401
90	0.2978101963
91	0.2966787939
92	0.2953379888
93	0.2943333465
94	0.2931934611
95	0.2919700019
96	0.2907767151
97	0.2899462008
98	0.2889676368
99	0.2880959357
100	0.2871631306
101	0.2863099523
102	0.2854634164
103	0.2846195771
104	0.2836864453
105	0.2826945694
106	0.2818302017
107	0.2809107707
108	0.280184412
109	0.2793538415
110	0.2786049344
111	0.2778216401
112	0.2770275396
113	0.2762607245
114	0.2754549785
115	0.2748373743
116	0.2742300449
117	0.2735979689
118	0.2730152011
119	0.2722347981
120	0.2716233332
121	0.2710033577
122	0.2702757747
123	0.2697707612
124	0.2691731524
125	0.2686516121
126	0.268097507
127	0.2675576677
128	0.267014072
129	0.266508098
130	0.2659716642
131	0.2653683885
132	0.2647894217
133	0.2643303568
134	0.2637327875
135	0.2633500008
136	0.2629329308
137	0.2623937392
138	0.2620690074
139	0.2616996126
140	0.2612917353
141	0.2609260974
142	0.260420958
143	0.2600131887
144	0.2596621848
145	0.259228221
146	0.2588395209
147	0.2584078758
148	0.2580945787
149	0.2577451679
150	0.2574197142
151	0.2570417681
152	0.2566645879
153	0.2563326949
154	0.2559554696
155	0.2555736242
156	0.2552850184
157	0.2549018492
158	0.2545520678
159	0.2541820759
160	0.2538854325
161	0.2535378683
162	0.2531847388
163	0.2529590934
164	0.2526925703
165	0.2524023819
166	0.2521122798
167	0.2518173233
168	0.2515334047
169	0.2513492849
170	0.2510765607
171	0.2508376284
172	0.2505607093
173	0.2502929712
174	0.2500299825
175	0.2497421463
176	0.2494728255
177	0.2492231079
178	0.2489791108
179	0.2487559815
180	0.2485607589
181	0.2483649526
182	0.2481483731
183	0.2478840497
184	0.24766156
185	0.2474375802
186	0.2472269327
187	0.2470523744
188	0.2468684398
189	0.2467076659
190	0.2465003645
191	0.2463148529
192	0.2461519006
193	0.245965015
194	0.2457777562
195	0.2455919377
196	0.2453526617
197	0.2451069414
198	0.2449167495
199	0.2447868166
