iter	Passed	Remaining
0	99	19766
1	191	18943
2	299	19671
3	402	19725
4	494	19284
5	588	19039
6	685	18888
7	775	18606
8	875	18576
9	958	18203
10	1051	18059
11	1133	17758
12	1231	17713
13	1337	17765
14	1441	17776
15	1573	18091
16	1696	18265
17	1803	18231
18	1903	18132
19	1991	17925
20	2077	17710
21	2173	17581
22	2260	17393
23	2347	17217
24	2446	17122
25	2544	17031
26	2635	16889
27	2749	16890
28	2845	16779
29	2952	16728
30	3044	16597
31	3137	16471
32	3222	16308
33	3317	16198
34	3412	16088
35	3506	15974
36	3598	15850
37	3696	15756
38	3787	15635
39	3900	15601
40	4005	15534
41	4090	15387
42	4187	15287
43	4285	15193
44	4372	15060
45	4454	14912
46	4559	14843
47	4644	14708
48	4751	14642
49	4849	14548
50	4952	14470
51	5051	14376
52	5170	14340
53	5303	14338
54	5435	14330
55	5548	14268
56	5675	14238
57	5787	14168
58	5903	14109
59	6032	14076
60	6144	14000
61	6253	13917
62	6381	13876
63	6502	13817
64	6619	13747
65	6742	13690
66	6887	13672
67	7067	13719
68	7253	13771
69	7407	13756
70	7578	13769
71	7730	13743
72	7879	13708
73	8057	13720
74	8206	13678
75	8352	13627
76	8485	13555
77	8618	13480
78	8786	13457
79	8899	13349
80	9050	13295
81	9185	13218
82	9306	13119
83	9417	13005
84	9524	12886
85	9641	12780
86	9756	12671
87	9875	12568
88	10002	12475
89	10133	12384
90	10257	12286
91	10371	12175
92	10485	12064
93	10597	11949
94	10725	11854
95	10844	11748
96	10970	11648
97	11074	11526
98	11176	11402
99	11293	11293
100	11397	11172
101	11508	11056
102	11634	10956
103	11781	10875
104	11909	10775
105	12015	10655
106	12108	10524
107	12208	10399
108	12329	10293
109	12437	10176
110	12536	10051
111	12636	9929
112	12745	9812
113	12845	9690
114	12939	9563
115	13043	9445
116	13142	9322
117	13232	9195
118	13327	9071
119	13433	8955
120	13520	8827
121	13621	8708
122	13726	8593
123	13823	8472
124	13922	8353
125	14019	8233
126	14102	8106
127	14194	7984
128	14276	7857
129	14380	7743
130	14490	7632
131	14594	7518
132	14682	7396
133	14768	7273
134	14870	7159
135	14968	7043
136	15067	6928
137	15167	6814
138	15258	6696
139	15339	6573
140	15437	6459
141	15536	6345
142	15644	6236
143	15727	6116
144	15809	5996
145	15912	5885
146	16004	5770
147	16099	5656
148	16184	5539
149	16282	5427
150	16377	5314
151	16474	5202
152	16591	5096
153	16691	4985
154	16801	4877
155	16905	4768
156	16987	4652
157	17093	4543
158	17203	4436
159	17309	4327
160	17424	4220
161	17519	4109
162	17614	3998
163	17697	3884
164	17788	3773
165	17900	3666
166	17989	3554
167	18096	3447
168	18188	3336
169	18272	3224
170	18362	3114
171	18464	3005
172	18581	2899
173	18711	2795
174	18834	2690
175	18968	2586
176	19099	2481
177	19216	2375
178	19319	2266
179	19426	2158
180	19521	2049
181	19623	1940
182	19726	1832
183	19834	1724
184	19929	1615
185	20032	1507
186	20132	1399
187	20224	1290
188	20308	1181
189	20391	1073
190	20491	965
191	20588	857
192	20677	749
193	20777	642
194	20879	535
195	20967	427
196	21073	320
197	21177	213
198	21267	106
199	21350	0
