Regressor
Epoch   Loss       Val_loss   Val_metrics

10      2.7392     1.2083     0.6502
20      0.6523     0.5560     0.8394
30      0.4464     0.4548     0.8685
40      0.3630     0.3967     0.8853
50      0.3248     0.3504     0.8953
60      0.2904     0.2907     0.9158
70      0.2370     0.3643     0.8947
80      0.2184     0.2898     0.9160
90      0.1965     0.2769     0.9198                
100     0.1750     0.2589     0.9250 - ЗАГРУЖАЕМ ЭТИ ВЕСА


Multitask classifier
poch   Loss       Val_loss   Val_metrics
5      0.2194     0.1940     0.7596
10     0.1808     0.1831     0.8192
15     0.1652     0.1723     0.8471 - ЗАГРУЖАЕМ ЭТИ ВЕСА
20     0.1549     0.1762     0.8434
25     0.1458     0.1730     0.8430
30     0.1391     0.1805     0.8379
35     0.1318     0.1831     0.8315
40     0.1252     0.1892     0.8244
45     0.1200     0.1955     0.8247
50     0.1153     0.2010     0.8171
55     0.1105     0.2047     0.8152
60     0.1066     0.2103     0.8136
65     0.1020     0.2187     0.8053
70     0.0992     0.2218     0.8006
75     0.0957     0.2261     0.8007
80     0.0928     0.2343     0.7932
85     0.0899     0.2398     0.7954
90     0.0881     0.2464     0.7922
95     0.0857     0.2489     0.7963
100    0.0842     0.2503     0.7920
